Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
Ahmedabad,,,,,,,,,,
1,G8 363,GOW,A 320,Daily,BOM,0:05,,,28-Oct-19,28-Mar-20
2,G8 451,GOW,A 320,Daily,PNQ,0:35,,,28-Oct-19,28-Mar-20
3,G8 413,GOW,A 320,7,,,BOM,0:35,27-Oct-19,27-Oct-19
4,G8 413,GOW,A 320,Daily,,,BOM,0:35,28-Oct-19,28-Mar-20
5,G8 550,GOW,A 320,Daily,HYD,1:25,,,28-Oct-19,28-Mar-20
6,G8 580,GOW,A 320,Daily,,,BOM,1:55,28-Oct-19,28-Mar-20
7,G8 532,GOW,A 320,7,,,CCU,6:00,27-Oct-19,27-Oct-19
8,G8 532,GOW,A 320,Daily,,,CCU,6:00,28-Oct-19,28-Mar-20
9,G8 719,GOW,A 320,Daily,DEL,7:40,,,27-Oct-19,28-Mar-20
10,G8 720,GOW,A 320,Daily,,,DEL,8:10,27-Oct-19,28-Mar-20
11,G8 801,GOW,A 320,7,BLR,8:40,,,1-Dec-19,22-Mar-20
12,G8 801,GOW,A 320,Daily,BLR,8:40,,,27-Oct-19,30-Nov-19
13,G8 365,GOW,A 320,Daily,BOM,8:50,,,27-Oct-19,28-Mar-20
14,G8 307,GOW,A 320,123456,IDR,9:00,,,25-Nov-19,28-Mar-20
15,G8 911,GOW,A 320,123456,MAA,9:05,,,28-Oct-19,28-Mar-20
16,G8 802,GOW,A 320,7,,,BLR,9:20,1-Dec-19,22-Mar-20
17,G8 802,GOW,A 320,Daily,,,BLR,9:20,27-Oct-19,30-Nov-19
18,G8 459,GOW,A 320,Daily,,,BOM,9:25,27-Oct-19,28-Mar-20
19,G8 911,GOW,A 320,123456,,,IXC,9:40,28-Oct-19,28-Mar-20
20,G8 801,GOW,A 320,123456,BLR,9:45,,,2-Dec-19,28-Mar-20
21,G8 730,GOW,A 320,123456,NAG,9:50,,,28-Oct-19,28-Mar-20
22,G8 701,GOW,A 320,123456,JAI,10:15,,,28-Oct-19,19-Nov-19
23,G8 701,GOW,A 320,123456,JAI,10:15,,,20-Nov-19,28-Mar-20
24,G8 802,GOW,A 320,123456,,,BLR,10:15,2-Dec-19,28-Mar-20
25,G8 308,GOW,A 320,123456,,,VNS,10:20,25-Nov-19,28-Mar-20
26,G8 731,GOW,A 320,123456,,,NAG,10:25,28-Oct-19,28-Mar-20
27,G8 551,GOW,A 320,123456,HYD,10:30,,,28-Oct-19,28-Mar-20
28,G8 701,GOW,A 320,123456,,,COK,10:50,28-Oct-19,19-Nov-19
29,G8 701,GOW,A 320,123456,,,NAG,10:50,20-Nov-19,28-Mar-20
30,G8 553,GOW,A 320,123456,,,HYD,11:05,28-Oct-19,28-Mar-20
31,G8 2603,GOW,A 320,123456,BOM,11:10,,,28-Oct-19,28-Mar-20
32,G8 2604,GOW,A 320,123456,,,BOM,11:40,28-Oct-19,28-Mar-20
33,G8 584,GOW,A 320,7,SXR,12:40,,,27-Oct-19,22-Mar-20
34,G8 584,GOW,A 320,123456,SXR,12:40,,,28-Oct-19,28-Mar-20
35,G8 109,GOW,A 320,123456,IXC,12:55,,,28-Oct-19,28-Mar-20
36,G8 805,GOW,A 320,2,LKO,13:10,,,29-Oct-19,24-Mar-20
37,G8 2504,GOW,A 320,123456,BOM,13:20,,,28-Oct-19,28-Mar-20
38,G8 535,GOW,A 320,7,,,LKO,13:20,27-Oct-19,22-Mar-20
39,G8 535,GOW,A 320,123456,,,LKO,13:20,28-Oct-19,28-Mar-20
40,G8 110,GOW,A 320,123456,,,LKO,13:30,28-Oct-19,28-Mar-20
41,G8 805,GOW,A 320,2,,,BLR,13:45,29-Oct-19,24-Mar-20
42,G8 2505,GOW,A 320,123456,,,BOM,13:50,28-Oct-19,28-Mar-20
43,G8 309,GOW,A 320,123456,VNS,14:55,,,25-Nov-19,28-Mar-20
44,G8 309,GOW,A 320,7,VNS,15:00,,,1-Dec-19,22-Mar-20
45,G8 310,GOW,A 320,7,,,IDR,15:35,1-Dec-19,22-Mar-20
46,G8 310,GOW,A 320,123456,,,IDR,15:35,25-Nov-19,28-Mar-20
47,G8 702,GOW,A 320,Daily,COK,16:30,,,27-Oct-19,19-Nov-19
48,G8 702,GOW,A 320,Daily,NAG,16:30,,,20-Nov-19,28-Mar-20
49,G8 702,GOW,A 320,Daily,,,JAI,17:00,27-Oct-19,19-Nov-19
50,G8 702,GOW,A 320,Daily,,,JAI,17:00,20-Nov-19,28-Mar-20
51,G8 717,GOW,A 320,Daily,DEL,17:05,,,27-Oct-19,28-Mar-20
52,G8 911,GOW,A 320,7,MAA,17:35,,,27-Oct-19,22-Mar-20
53,G8 913,GOW,A 320,123456,IXC,17:35,,,28-Oct-19,28-Mar-20
54,G8 718,GOW,A 320,Daily,,,DEL,17:35,27-Oct-19,28-Mar-20
55,G8 111,GOW,A 320,Daily,LKO,17:45,,,27-Oct-19,28-Mar-20
56,G8 913,GOW,A 320,7,,,GOI,18:10,27-Oct-19,22-Mar-20
57,G8 913,GOW,A 320,123456,,,GOI,18:10,28-Oct-19,28-Mar-20
58,G8 137,GOW,A 320,Daily,,,IXC,18:20,27-Oct-19,28-Mar-20
59,G8 536,GOW,A 320,Daily,LKO,18:55,,,27-Oct-19,28-Mar-20
60,G8 537,GOW,A 320,Daily,CCU,19:25,,,27-Oct-19,28-Mar-20
61,G8 539,GOW,A 320,Daily,,,IDR,19:25,27-Oct-19,28-Mar-20
62,G8 554,GOW,A 320,Daily,HYD,20:05,,,27-Oct-19,28-Mar-20
63,G8 537,GOW,A 320,Daily,,,BOM,20:05,27-Oct-19,28-Mar-20
64,G8 552,GOW,A 320,Daily,,,HYD,20:35,27-Oct-19,28-Mar-20
65,G8 364,GOW,A 320,Daily,BOM,20:40,,,27-Oct-19,28-Mar-20
66,G8 633,GOW,A 320,Daily,,,PNQ,21:10,27-Oct-19,28-Mar-20
67,G8 803,GOW,A 320,Daily,BLR,21:15,,,27-Oct-19,28-Mar-20
68,G8 804,GOW,A 320,Daily,,,BLR,21:50,27-Oct-19,28-Mar-20
69,G8 713,GOW,A 320,Daily,DEL,21:55,,,27-Oct-19,28-Mar-20
70,G8 914,GOW,A 320,Daily,GOI,22:15,,,27-Oct-19,28-Mar-20
71,G8 714,GOW,A 320,Daily,,,DEL,22:25,27-Oct-19,28-Mar-20
72,G8 912,GOW,A 320,Daily,,,MAA,22:55,27-Oct-19,28-Mar-20
Aizawal,,,,,,,,,,
1,G8 297,GOW,A 320,Daily,CCU,11:05,,,27-Oct-19,28-Mar-20
2,G8 160,GOW,A 320,Daily,,,GAU,11:45,27-Oct-19,28-Mar-20
3,G8 161,GOW,A 320,Daily,GAU,13:30,,,27-Oct-19,28-Mar-20
4,G8 161,GOW,A 320,Daily,,,CCU,14:00,27-Oct-19,28-Mar-20
5,G8 298,GOW,A 320,Daily,GAU,14:15,,,27-Oct-19,28-Mar-20
6,G8 170,GOW,A 320,Daily,,,CCU,15:05,27-Oct-19,28-Mar-20
Bagdogra,,,,,,,,,,
1,G8 153,GOW,A 320,Daily,DEL,13:10,,,27-Oct-19,28-Mar-20
2,G8 154,GOW,A 320,Daily,,,DEL,13:40,27-Oct-19,28-Mar-20
3,G8 538,GOW,A 320,Daily,CCU,14:10,,,27-Oct-19,28-Mar-20
4,G8 537,GOW,A 320,Daily,,,CCU,14:40,27-Oct-19,28-Mar-20
5,G8 257,GOW,A 320,Daily,DEL,15:30,,,27-Oct-19,28-Mar-20
6,G8 257,GOW,A 320,Daily,,,GAU,16:00,27-Oct-19,28-Mar-20
7,G8 851,GOW,A 320,Daily,GAU,16:30,,,27-Oct-19,28-Mar-20
8,G8 851,GOW,A 320,Daily,,,DEL,17:00,27-Oct-19,28-Mar-20
Bangalore,,,,,,,,,,
1,G8 804,GOW,A 320,Daily,AMD,0:05,,,27-Oct-19,28-Mar-20
